,Gene,Paper_ID,Classification,EC_numbers,Reaction_Group,Title,Organism
115,ACIAD3381,1955,Negative,['1.2.2.2'],POX_1,Improved triacylglycerol production in Acinetobacter baylyi ADP1 by metabolic engineering.,['Acinetobacter baylyi']
116,ACL1,11634,Positive,['2.3.3.8'],ACITL_1,Metabolic engineering of Rhodotorula toruloides IFO0880 improves C16 and C18 fatty alcohol production from synthetic media.,['Rhodotorula toruloides']
117,ACO1,9016,Positive,['4.2.1.3'],ACONTb_1,5-Aminolevulinic acid fermentation using engineered Saccharomyces cerevisiae.,['Saccharomyces cerevisiae']
118,ACO1,9016,Positive,['4.2.1.3'],ACONTa_1,5-Aminolevulinic acid fermentation using engineered Saccharomyces cerevisiae.,['Saccharomyces cerevisiae']
119,ACS,11259,Positive,['6.2.1.1'],ACS_1,Enzyme engineering and <i>in vivo</i> testing of a formate reduction pathway.,"['Marinithermus hydrothermalis', 'Pyrobaculum aerophilum', 'Listeria monocytogenes', 'Rhodopseudomonas palustris', 'Kuenenia stuttgartiensis', 'Methylotuvimicrobium buryatense']"
120,ACS,11259,Other,['6.2.1.1'],ACS_1,Enzyme engineering and <i>in vivo</i> testing of a formate reduction pathway.,"['Marinithermus hydrothermalis', 'Pyrobaculum aerophilum', 'Listeria monocytogenes', 'Rhodopseudomonas palustris', 'Kuenenia stuttgartiensis', 'Methylotuvimicrobium buryatense']"
121,ACS,11259,Negative,['6.2.1.1'],ACS_1,Enzyme engineering and <i>in vivo</i> testing of a formate reduction pathway.,"['Marinithermus hydrothermalis', 'Pyrobaculum aerophilum', 'Listeria monocytogenes', 'Rhodopseudomonas palustris', 'Kuenenia stuttgartiensis', 'Methylotuvimicrobium buryatense']"
122,ACS1,3508,Other,['6.2.1.1'],ACS_1,Transcription analysis of recombinant industrial and laboratory Saccharomyces cerevisiae strains reveals the molecular basis for fermentation of glucose and xylose.,['Saccharomyces cerevisiae']
123,ACS1,4073,Negative,['6.2.1.1'],ACS_1,Synthetic biology for engineering acetyl coenzyme A metabolism in yeast.,['Saccharomyces cerevisiae']
124,ACS1,5109,Negative,['6.2.1.1'],ACS_1,Replacement of the initial steps of ethanol metabolism in Saccharomyces cerevisiae by ATP-independent acetylating acetaldehyde dehydrogenase.,['Saccharomyces cerevisiae']
125,ACS1,5395,Positive,['6.2.1.1'],ACS_1,Exploring fatty alcohol-producing capability of Yarrowia lipolytica.,['Yarrowia lipolytica']
126,ACS1,5906,Negative,['6.2.1.1'],ACS_1,"Increasing n-butanol production with <i>Saccharomyces cerevisiae</i> by optimizing acetyl-CoA synthesis, NADH levels and trans-2-enoyl-CoA reductase expression.",['Saccharomyces cerevisiae']
127,ACS1,5906,Positive,['6.2.1.1'],ACS_1,"Increasing n-butanol production with <i>Saccharomyces cerevisiae</i> by optimizing acetyl-CoA synthesis, NADH levels and trans-2-enoyl-CoA reductase expression.",['Saccharomyces cerevisiae']
128,ACS1,6859,Positive,['6.2.1.1'],ACS_1,Comparative metabolomics profiling of engineered Saccharomyces cerevisiae lead to a strategy that improving β-carotene production by acetate supplementation.,['Saccharomyces cerevisiae']
129,ACS1,6860,Other,['6.2.1.1'],ACS_1,Multiplexed CRISPR/Cas9 Genome Editing and Gene Regulation Using Csy4 in Saccharomyces cerevisiae.,['Saccharomyces cerevisiae']
130,ACS1,7466,Positive,['6.2.1.1'],ACS_1,Glucose-Dependent Promoters for Dynamic Regulation of Metabolic Pathways.,['Saccharomyces cerevisiae']
131,ACS1,8394,Negative,['6.2.1.1'],ACS_1,CRISPR/Cas9-RNA interference system for combinatorial metabolic engineering of Saccharomyces cerevisiae.,['Saccharomyces cerevisiae']
132,ACS1,10993,Positive,['6.2.1.1'],ACS_1,Engineering of Saccharomyces cerevisiae for the accumulation of high amounts of triacylglycerol.,['Saccharomyces cerevisiae']
133,ACS1,11051,Positive,['6.2.1.1'],ACS_1,Production of (-)-α-bisabolol in metabolically engineered Saccharomyces cerevisiae.,['Saccharomyces cerevisiae']
134,ACS1,13202,Positive,['6.2.1.1'],ACS_1,Metabolic Engineering of <i>Saccharomyces cerevisiae</i> for Efficient Retinol Synthesis.,['Saccharomyces cerevisiae']
135,ACS1,14290,Positive,['6.2.1.1'],ACS_1,Multi-modular metabolic engineering and efflux engineering for enhanced lycopene production in recombinant Saccharomyces cerevisiae.,['Saccharomyces cerevisiae']
136,ACS1,14405,Positive,['6.2.1.1'],ACS_1,De novo production of bioactive sesterterpenoid ophiobolins in Saccharomyces cerevisiae cell factories.,['Saccharomyces cerevisiae']
137,ACS1,16000,Positive,['6.2.1.1'],ACS_1,The Application of Multiple Strategies to Enhance Methylparaben Synthesis Using the Engineered <i>Saccharomyces cerevisiae</i>.,['Saccharomyces cerevisiae']
138,ACS2,31,Positive,['6.2.1.1'],ACS_1,Engineering of the pyruvate dehydrogenase bypass in Saccharomyces cerevisiae: role of the cytosolic Mg(2+) and mitochondrial K(+) acetaldehyde dehydrogenases Ald6p and Ald4p in acetate formation during alcoholic fermentation.,['Saccharomyces cerevisiae']
139,ACS2,2636,Positive,['6.2.1.1'],ACS_1,Engineering of acetyl-CoA metabolism for the improved production of polyhydroxybutyrate in Saccharomyces cerevisiae.,['Saccharomyces cerevisiae']
140,ACS2,3690,Negative,['6.2.1.1'],ACS_1,"iOD907, the first genome-scale metabolic model for the milk yeast Kluyveromyces lactis.",['Kluyveromyces lactis']
